title,authors,original_price,current_price,quantity,category,n_review,avg_rating,pages,manufacturer,cover_link
Lão Tử Tinh Hoa (Ts Thu Giang)(Tái Bản),Nguyễn Duy Cần,95000,60000,1050.0,Sách giáo dục,131,5.0,218.0,NXB Trẻ,https://salt.tikicdn.com/ts/product/6b/d3/37/5f7a7a7d777e07caecab11d878695a70.jpg
Dịch Hạch (Nobel Văn Chương 1957),Albert Camus,129000,89716,3772.0,Tác phẩm kinh điển,604,4.6,392.0,Nhà Xuất Bản Dân Trí,https://salt.tikicdn.com/ts/product/fe/12/fc/4b6bef1174ce990acda76bf860c2aa71.png
Ngôi Nhà Quái Dị (Agatha Christie)(Tái Bản 2020),Agatha Christie,95000,57000,1597.0,Truyện trinh thám,364,4.8,272.0,NXB Trẻ,https://salt.tikicdn.com/ts/product/f1/f7/5c/9807cf72c51394235aa1e9b3ecccef4b.png
Bản Đồ,Aleksandra Mizielińska,345000,241500,6183.0,Kiến thức - Bách khoa,960,4.8,108.0,Nhà Xuất Bản Lao Động,https://salt.tikicdn.com/ts/product/a6/3a/72/69e85d50ef9875ade10fd5a19298fc2f.png
Chuộc Tội,Minato Kanae,108000,75570,2017.0,Truyện trinh thám,134,5.0,284.0,Nhà Xuất Bản Hội Nhà Văn,https://salt.tikicdn.com/ts/product/48/66/14/1213b6533ee7e8664d3726d99515de22.png
Khu Vườn Bí Mật ( Tái Bản 2019 ),Frances Hodgson Burnett,96000,57000,4549.0,Tiểu Thuyết,506,4.8,321.0,Nhà Xuất Bản Văn Học,https://salt.tikicdn.com/ts/product/b9/dd/88/65c9c0c3401699ea35f6fcb63ac69e5f.png
Thư giãn với Y học - Nguyễn Văn Tuấn - NXB,GS.TS. Nguyễn Văn Tuấn,124000,124000,17.0,Lĩnh vực khác,1,5.0,312.0,Nhà Xuất Bản Tổng hợp TP.HCM,https://salt.tikicdn.com/ts/product/37/ee/c1/68bde2f4c6d4654866e48e7d9da678ae.jpg
Đêm trước Đông chí,Bối Khách Bang,165000,113550,20.0,Truyện kinh dị,1,5.0,400.0,Nhà Xuất Bản Văn Học,https://salt.tikicdn.com/ts/product/f2/7e/f2/90c0df4542acd470f4e24112c1fc9224.jpg
Trao Niềm Tin Và Truyền cảm Hứng,Stephen M.R. Covey,255000,165750,10.0,"Sách quản trị, lãnh đạo",0,0.0,460.0,Nhà Xuất Bản Thanh Niên,https://salt.tikicdn.com/ts/product/e7/b0/4a/2426b29d23d21bd5809f0e11bb75f7a5.jpg
Nhân Gian Đáng Giá,Tsuneko Nakamura,128000,85000,1054.0,Sách kỹ năng mềm,135,5.0,262.0,Nhà Xuất Bản Thanh Niên,https://salt.tikicdn.com/ts/product/11/ed/12/aa248e6580f14568d66bc97bb03d1bbd.jpg
